,state_location,zip_location,school_counts,enrollment_mean,g12_enrollment_mean,teachers_fte_mean,g12_students_retained_mean,students_SAT_ACT_mean,salaries_teachers_mean,salaries_total_mean,expenditures_nonpersonnel_mean
7160,NC,27262,1,1449.0,320.0,94.0,6.0,280.0,4049578.0,5115869.0,585803.0
7161,NC,27265,3,824.0,200.0,54.0,2.0,184.0,2453185.0,3053899.0,506581.0
7162,NC,27278,2,1200.0,270.0,78.0,3.0,254.0,3584110.0,4576384.0,577820.0
7163,NC,27282,2,846.0,190.0,48.0,0.0,190.0,2156114.0,2785535.5,349045.5
7164,NC,27284,2,1644.0,396.0,96.0,10.0,370.0,4513337.5,5495894.0,335322.5
7165,NC,27288,1,847.0,203.0,45.0,1.0,187.0,2010502.0,2588213.0,325598.0
7166,NC,27292,3,651.0,138.0,42.0,0.0,137.0,1857141.0,2410918.33,336798.0
7167,NC,27295,3,720.0,200.0,43.0,1.0,188.0,2033535.33,2529484.0,357955.33
7168,NC,27301,1,1021.0,236.0,65.0,4.0,212.0,3107446.0,3739148.0,400842.0
7169,NC,27302,1,1273.0,270.0,67.0,2.0,306.0,2900642.0,3770733.0,299672.0
7170,NC,27306,1,492.0,128.0,35.0,0.0,118.0,1572280.0,1945600.0,220067.0
7171,NC,27312,1,1367.0,313.0,80.0,4.0,317.0,3857975.0,4556455.0,451096.0
7172,NC,27316,1,723.0,182.0,46.0,3.0,138.0,1899301.0,2594251.0,400182.0
7173,NC,27317,1,900.0,229.0,54.0,2.0,185.0,2385513.0,3071120.0,347670.0
7174,NC,27320,2,890.0,196.0,52.0,4.0,206.0,2471281.5,3148021.0,378219.0
7175,NC,27325,1,565.0,144.0,37.0,1.0,146.0,1672940.0,2508098.0,273639.0
7176,NC,27330,2,924.0,189.0,56.0,2.0,206.0,2638091.0,3280160.5,537745.0
7177,NC,27332,1,1123.0,259.0,75.0,2.0,250.0,3645365.0,4781739.0,702551.0
7178,NC,27344,1,870.0,181.0,62.0,1.0,184.0,2829552.0,3327622.0,382572.0
